Colour,Lower Bound of Range,Upper Bound of Range,Spike Size,Occurences
Red,2,534000000000,677000000000,12,1
Red,2,534000000000,677000000000,13,3
Red,2,534000000000,677000000000,14,8
Red,2,534000000000,677000000000,15,3
Red,2,534000000000,677000000000,16,4
Red,2,534000000000,677000000000,17,2
Red,2,534000000000,677000000000,18,3
Red,2,534000000000,677000000000,19,2
Red,2,534000000000,677000000000,20,2
Red,2,534000000000,677000000000,21,2
Red,2,534000000000,677000000000,22,0
Red,2,534000000000,677000000000,23,2
Red,2,534000000000,677000000000,24,0
Red,2,534000000000,677000000000,25,3
Red,2,534000000000,677000000000,26,4
Red,2,534000000000,677000000000,27,0
Red,2,534000000000,677000000000,28,1
Red,2,534000000000,677000000000,29,0
Red,2,534000000000,677000000000,30,1
Red,2,534000000000,677000000000,31,1
Red,2,534000000000,677000000000,32,0
Red,2,534000000000,677000000000,33,0
Red,2,534000000000,677000000000,34,0
Red,2,534000000000,677000000000,35,3
Red,2,534000000000,677000000000,36,1
Red,2,534000000000,677000000000,37,2
Red,2,534000000000,677000000000,38,1
Red,2,534000000000,677000000000,39,0
Red,2,534000000000,677000000000,40,0
Red,2,534000000000,677000000000,41,0
Red,2,534000000000,677000000000,42,1
Red,2,534000000000,677000000000,43,0
Red,2,534000000000,677000000000,44,0
Red,2,534000000000,677000000000,45,0
Red,2,534000000000,677000000000,46,0
Red,2,534000000000,677000000000,47,2
Red,2,534000000000,677000000000,48,1
Red,2,534000000000,677000000000,49,0
Red,2,534000000000,677000000000,50,0
Red,2,534000000000,677000000000,51,0
Red,2,534000000000,677000000000,52,0
Red,2,534000000000,677000000000,53,0
Red,2,534000000000,677000000000,54,0
Red,2,534000000000,677000000000,55,1
Red,2,534000000000,677000000000,56,0
Red,2,534000000000,677000000000,57,0
Red,2,534000000000,677000000000,58,0
Red,2,534000000000,677000000000,59,0
Red,2,677000000000,917000000000,0,135
Red,2,677000000000,917000000000,1,12
Red,2,677000000000,917000000000,2,7
Red,2,677000000000,917000000000,3,20
Red,2,677000000000,917000000000,4,5
Red,2,677000000000,917000000000,5,8
Red,2,677000000000,917000000000,6,10
Red,2,677000000000,917000000000,7,10
Red,2,677000000000,917000000000,8,6
Red,2,677000000000,917000000000,9,3
Red,2,677000000000,917000000000,10,10
Red,2,677000000000,917000000000,11,3
Red,2,677000000000,917000000000,12,9
Red,2,677000000000,917000000000,13,5
Red,2,677000000000,917000000000,14,7
Red,2,677000000000,917000000000,15,8
Red,2,677000000000,917000000000,16,1
Red,2,677000000000,917000000000,17,3
Red,2,677000000000,917000000000,18,6
Red,2,677000000000,917000000000,19,3
Red,2,677000000000,917000000000,20,0
Red,2,677000000000,917000000000,21,6
Red,2,677000000000,917000000000,22,3
Red,2,677000000000,917000000000,23,3
Red,2,677000000000,917000000000,24,4
Red,2,677000000000,917000000000,25,1
Red,2,677000000000,917000000000,26,0
Red,2,677000000000,917000000000,27,3
Red,2,677000000000,917000000000,28,1
Red,2,677000000000,917000000000,29,0
Red,2,677000000000,917000000000,30,2
Red,2,677000000000,917000000000,31,1
Red,2,677000000000,917000000000,32,0
Red,2,677000000000,917000000000,33,0
Red,2,677000000000,917000000000,34,1
Red,2,677000000000,917000000000,35,2
Red,2,677000000000,917000000000,36,0
Red,2,677000000000,917000000000,37,0
Red,2,677000000000,917000000000,38,0
Red,2,677000000000,917000000000,39,1
Red,2,677000000000,917000000000,40,0
Red,2,677000000000,917000000000,41,0
Red,2,677000000000,917000000000,42,1
Red,2,677000000000,917000000000,43,2
Red,2,677000000000,917000000000,44,0
Red,2,677000000000,917000000000,45,0
Red,2,677000000000,917000000000,46,2
Red,2,677000000000,917000000000,47,0
Red,2,677000000000,917000000000,48,3
Red,2,677000000000,917000000000,49,1
Red,2,677000000000,917000000000,50,0
Red,2,677000000000,917000000000,51,0
Red,2,677000000000,917000000000,52,0
Red,2,677000000000,917000000000,53,0
Red,2,677000000000,917000000000,54,0
Red,2,677000000000,917000000000,55,0
Red,2,677000000000,917000000000,56,2
Red,2,677000000000,917000000000,57,1
Red,2,677000000000,917000000000,58,0
Red,2,677000000000,917000000000,59,0
Red,2,917000000000,1090000000000,0,128
Red,2,917000000000,1090000000000,1,12
Red,2,917000000000,1090000000000,2,11
Red,2,917000000000,1090000000000,3,13
Red,2,917000000000,1090000000000,4,7
Red,2,917000000000,1090000000000,5,7
Red,2,917000000000,1090000000000,6,8
Red,2,917000000000,1090000000000,7,16
Red,2,917000000000,1090000000000,8,6
Red,2,917000000000,1090000000000,9,5
Red,2,917000000000,1090000000000,10,10
Red,2,917000000000,1090000000000,11,4
Red,2,917000000000,1090000000000,12,4
Red,2,917000000000,1090000000000,13,4
Red,2,917000000000,1090000000000,14,7
Red,2,917000000000,1090000000000,15,7
Red,2,917000000000,1090000000000,16,8
Red,2,917000000000,1090000000000,17,4
Red,2,917000000000,1090000000000,18,8
Red,2,917000000000,1090000000000,19,6
Red,2,917000000000,1090000000000,20,1
Red,2,917000000000,1090000000000,21,4
Red,2,917000000000,1090000000000,22,1
Red,2,917000000000,1090000000000,23,3
Red,2,917000000000,1090000000000,24,2
Red,2,917000000000,1090000000000,25,3
Red,2,917000000000,1090000000000,26,1
Red,2,917000000000,1090000000000,27,1
Red,2,917000000000,1090000000000,28,0
Red,2,917000000000,1090000000000,29,2
Red,2,917000000000,1090000000000,30,1
Red,2,917000000000,1090000000000,31,1
Red,2,917000000000,1090000000000,32,0
Red,2,917000000000,1090000000000,33,0
Red,2,917000000000,1090000000000,34,1
Red,2,917000000000,1090000000000,35,2
Red,2,917000000000,1090000000000,36,2
Red,2,917000000000,1090000000000,37,0
Red,2,917000000000,1090000000000,38,0
Red,2,917000000000,1090000000000,39,0
Red,2,917000000000,1090000000000,40,1
Red,2,917000000000,1090000000000,41,0
Red,2,917000000000,1090000000000,42,2
Red,2,917000000000,1090000000000,43,0
Red,2,917000000000,1090000000000,44,0
Red,2,917000000000,1090000000000,45,0
Red,2,917000000000,1090000000000,46,2
Red,2,917000000000,1090000000000,47,5
Red,2,917000000000,1090000000000,48,2
Red,2,917000000000,1090000000000,49,0
Red,2,917000000000,1090000000000,50,0
Red,2,917000000000,1090000000000,51,0
Red,2,917000000000,1090000000000,52,0
Red,2,917000000000,1090000000000,53,0
Red,2,917000000000,1090000000000,54,0
Red,2,917000000000,1090000000000,55,0
Red,2,917000000000,1090000000000,56,0
Red,2,917000000000,1090000000000,57,0
Red,2,917000000000,1090000000000,58,0
Red,2,917000000000,1090000000000,59,0
Red,2,1090000000000,1270000000000,0,122
Red,2,1090000000000,1270000000000,1,20
Red,2,1090000000000,1270000000000,2,20
Red,2,1090000000000,1270000000000,3,13
Red,2,1090000000000,1270000000000,4,10
Red,2,1090000000000,1270000000000,5,5
Red,2,1090000000000,1270000000000,6,5
Red,2,1090000000000,1270000000000,7,14
Red,2,1090000000000,1270000000000,8,5
Red,2,1090000000000,1270000000000,9,2
Red,2,1090000000000,1270000000000,10,4
Red,2,1090000000000,1270000000000,11,3
Red,2,1090000000000,1270000000000,12,6
Red,2,1090000000000,1270000000000,13,4
Red,2,1090000000000,1270000000000,14,7
Red,2,1090000000000,1270000000000,15,3
Red,2,1090000000000,1270000000000,16,2
Red,2,1090000000000,1270000000000,17,5
Red,2,1090000000000,1270000000000,18,2
Red,2,1090000000000,1270000000000,19,10
Red,2,1090000000000,1270000000000,20,1
Red,2,1090000000000,1270000000000,21,10
Red,2,1090000000000,1270000000000,22,3
Red,2,1090000000000,1270000000000,23,3
Red,2,1090000000000,1270000000000,24,0
Red,2,1090000000000,1270000000000,25,2
Red,2,1090000000000,1270000000000,26,5
Red,2,1090000000000,1270000000000,27,1
Red,2,1090000000000,1270000000000,28,4
Red,2,1090000000000,1270000000000,29,1
Red,2,1090000000000,1270000000000,30,1
Red,2,1090000000000,1270000000000,31,1
Red,2,1090000000000,1270000000000,32,3
Red,2,1090000000000,1270000000000,33,0
Red,2,1090000000000,1270000000000,34,1
Red,2,1090000000000,1270000000000,35,1
Red,2,1090000000000,1270000000000,36,0
Red,2,1090000000000,1270000000000,37,2
Red,2,1090000000000,1270000000000,38,1
Red,2,1090000000000,1270000000000,39,2
Red,2,1090000000000,1270000000000,40,0
Red,2,1090000000000,1270000000000,41,1
Red,2,1090000000000,1270000000000,42,1
Red,2,1090000000000,1270000000000,43,1
Red,2,1090000000000,1270000000000,44,2
Red,2,1090000000000,1270000000000,45,1
Red,2,1090000000000,1270000000000,46,0
Red,2,1090000000000,1270000000000,47,0
Red,2,1090000000000,1270000000000,48,0
Red,2,1090000000000,1270000000000,49,0
Red,2,1090000000000,1270000000000,50,1
Red,2,1090000000000,1270000000000,51,1
Red,2,1090000000000,1270000000000,52,0
Red,2,1090000000000,1270000000000,53,0
Red,2,1090000000000,1270000000000,54,0
Red,2,1090000000000,1270000000000,55,0
Red,2,1090000000000,1270000000000,56,0
Red,2,1090000000000,1270000000000,57,0
Red,2,1090000000000,1270000000000,58,0
Red,2,1090000000000,1270000000000,59,0
Red,2,1270000000000,1480000000000,0,117
Red,2,1270000000000,1480000000000,1,20
Red,2,1270000000000,1480000000000,2,25
Red,2,1270000000000,1480000000000,3,9
Red,2,1270000000000,1480000000000,4,11
Red,2,1270000000000,1480000000000,5,8
Red,2,1270000000000,1480000000000,6,9
Red,2,1270000000000,1480000000000,7,20
Red,2,1270000000000,1480000000000,8,1
Red,2,1270000000000,1480000000000,9,1
Red,2,1270000000000,1480000000000,10,5
Red,2,1270000000000,1480000000000,11,4
Red,2,1270000000000,1480000000000,12,6
Red,2,1270000000000,1480000000000,13,5
Red,2,1270000000000,1480000000000,14,3
Red,2,1270000000000,1480000000000,15,5
Red,2,1270000000000,1480000000000,16,1
Red,2,1270000000000,1480000000000,17,2
Red,2,1270000000000,1480000000000,18,4
Red,2,1270000000000,1480000000000,19,0
Red,2,1270000000000,1480000000000,20,2
Red,2,1270000000000,1480000000000,21,5
Red,2,1270000000000,1480000000000,22,0
Red,2,1270000000000,1480000000000,23,9
Red,2,1270000000000,1480000000000,24,7
Red,2,1270000000000,1480000000000,25,3
Red,2,1270000000000,1480000000000,26,4
Red,2,1270000000000,1480000000000,27,2
Red,2,1270000000000,1480000000000,28,0
Red,2,1270000000000,1480000000000,29,0
Red,2,1270000000000,1480000000000,30,5
Red,2,1270000000000,1480000000000,31,0
Red,2,1270000000000,1480000000000,32,1
Red,2,1270000000000,1480000000000,33,0
Red,2,1270000000000,1480000000000,34,1
Red,2,1270000000000,1480000000000,35,0
Red,2,1270000000000,1480000000000,36,0
Red,2,1270000000000,1480000000000,37,1
Red,2,1270000000000,1480000000000,38,1
Red,2,1270000000000,1480000000000,39,1
Red,2,1270000000000,1480000000000,40,3
Red,2,1270000000000,1480000000000,41,1
Red,2,1270000000000,1480000000000,42,2
Red,2,1270000000000,1480000000000,43,1
Red,2,1270000000000,1480000000000,44,2
Red,2,1270000000000,1480000000000,45,1
Red,2,1270000000000,1480000000000,46,0
Red,2,1270000000000,1480000000000,47,2
Red,2,1270000000000,1480000000000,48,0
Red,2,1270000000000,1480000000000,49,0
Red,2,1270000000000,1480000000000,50,1
Red,2,1270000000000,1480000000000,51,0
Red,2,1270000000000,1480000000000,52,0
Red,2,1270000000000,1480000000000,53,0
Red,2,1270000000000,1480000000000,54,0
Red,2,1270000000000,1480000000000,55,0
Red,2,1270000000000,1480000000000,56,0
Red,2,1270000000000,1480000000000,57,0
Red,2,1270000000000,1480000000000,58,0
Red,2,1270000000000,1480000000000,59,0
Red,2,1480000000000,1650000000000,0,129
Red,2,1480000000000,1650000000000,1,20
Red,2,1480000000000,1650000000000,2,25
Red,2,1480000000000,1650000000000,3,9
Red,2,1480000000000,1650000000000,4,5
Red,2,1480000000000,1650000000000,5,3
Red,2,1480000000000,1650000000000,6,10
Red,2,1480000000000,1650000000000,7,8
Red,2,1480000000000,1650000000000,8,2
Red,2,1480000000000,1650000000000,9,6
Red,2,1480000000000,1650000000000,10,6
Red,2,1480000000000,1650000000000,11,5
Red,2,1480000000000,1650000000000,12,7
Red,2,1480000000000,1650000000000,13,4
Red,2,1480000000000,1650000000000,14,2
Red,2,1480000000000,1650000000000,15,3
Red,2,1480000000000,1650000000000,16,4
Red,2,1480000000000,1650000000000,17,3
Red,2,1480000000000,1650000000000,18,2
Red,2,1480000000000,1650000000000,19,3
Red,2,1480000000000,1650000000000,20,6
Red,2,1480000000000,1650000000000,21,5
Red,2,1480000000000,1650000000000,22,7
Red,2,1480000000000,1650000000000,23,2
Red,2,1480000000000,1650000000000,24,4
Red,2,1480000000000,1650000000000,25,1
Red,2,1480000000000,1650000000000,26,2
Red,2,1480000000000,1650000000000,27,1
Red,2,1480000000000,1650000000000,28,2
Red,2,1480000000000,1650000000000,29,1
Red,2,1480000000000,1650000000000,30,2
Red,2,1480000000000,1650000000000,31,1
Red,2,1480000000000,1650000000000,32,0
Red,2,1480000000000,1650000000000,33,3
Red,2,1480000000000,1650000000000,34,3
Red,2,1480000000000,1650000000000,35,1
Red,2,1480000000000,1650000000000,36,1
Red,2,1480000000000,1650000000000,37,2
Red,2,1480000000000,1650000000000,38,1
Red,2,1480000000000,1650000000000,39,0
Red,2,1480000000000,1650000000000,40,2
Red,2,1480000000000,1650000000000,41,3
Red,2,1480000000000,1650000000000,42,1
Red,2,1480000000000,1650000000000,43,1
Red,2,1480000000000,1650000000000,44,1
Red,2,1480000000000,1650000000000,45,0
Red,2,1480000000000,1650000000000,46,1
Red,2,1480000000000,1650000000000,47,0
Red,2,1480000000000,1650000000000,48,0
Red,2,1480000000000,1650000000000,49,1
Red,2,1480000000000,1650000000000,50,0
Red,2,1480000000000,1650000000000,51,1
Red,2,1480000000000,1650000000000,52,0
Red,2,1480000000000,1650000000000,53,0
Red,2,1480000000000,1650000000000,54,0
Red,2,1480000000000,1650000000000,55,0
Red,2,1480000000000,1650000000000,56,0
Red,2,1480000000000,1650000000000,57,0
Red,2,1480000000000,1650000000000,58,0
Red,2,1480000000000,1650000000000,59,0
Red,2,1650000000000,1830000000000,0,141
Red,2,1650000000000,1830000000000,1,19
Red,2,1650000000000,1830000000000,2,23
Red,2,1650000000000,1830000000000,3,10
Red,2,1650000000000,1830000000000,4,2
Red,2,1650000000000,1830000000000,5,9
Red,2,1650000000000,1830000000000,6,6
Red,2,1650000000000,1830000000000,7,7
Red,2,1650000000000,1830000000000,8,9
Red,2,1650000000000,1830000000000,9,4
Red,2,1650000000000,1830000000000,10,7
Red,2,1650000000000,1830000000000,11,0
Red,2,1650000000000,1830000000000,12,4
Red,2,1650000000000,1830000000000,13,1
Red,2,1650000000000,1830000000000,14,2
Red,2,1650000000000,1830000000000,15,3
Red,2,1650000000000,1830000000000,16,7
Red,2,1650000000000,1830000000000,17,3
Red,2,1650000000000,1830000000000,18,3
Red,2,1650000000000,1830000000000,19,2
Red,2,1650000000000,1830000000000,20,3
Red,2,1650000000000,1830000000000,21,0
Red,2,1650000000000,1830000000000,22,3
Red,2,1650000000000,1830000000000,23,2
Red,2,1650000000000,1830000000000,24,2
Red,2,1650000000000,1830000000000,25,0
Red,2,1650000000000,1830000000000,26,0
Red,2,1650000000000,1830000000000,27,2
Red,2,1650000000000,1830000000000,28,1
Red,2,1650000000000,1830000000000,29,2
Red,2,1650000000000,1830000000000,30,7
Red,2,1650000000000,1830000000000,31,0
Red,2,1650000000000,1830000000000,32,4
Red,2,1650000000000,1830000000000,33,0
Red,2,1650000000000,1830000000000,34,0
Red,2,1650000000000,1830000000000,35,3
Red,2,1650000000000,1830000000000,36,1
Red,2,1650000000000,1830000000000,37,0
Red,2,1650000000000,1830000000000,38,2
Red,2,1650000000000,1830000000000,39,4
Red,2,1650000000000,1830000000000,40,3
Red,2,1650000000000,1830000000000,41,1
Red,2,1650000000000,1830000000000,42,3
Red,2,1650000000000,1830000000000,43,1
Red,2,1650000000000,1830000000000,44,0
Red,2,1650000000000,1830000000000,45,1
Red,2,1650000000000,1830000000000,46,2
Red,2,1650000000000,1830000000000,47,2
Red,2,1650000000000,1830000000000,48,0
Red,2,1650000000000,1830000000000,49,0
Red,2,1650000000000,1830000000000,50,0
Red,2,1650000000000,1830000000000,51,0
Red,2,1650000000000,1830000000000,52,0
Red,2,1650000000000,1830000000000,53,0
Red,2,1650000000000,1830000000000,54,0
Red,2,1650000000000,1830000000000,55,0
Red,2,1650000000000,1830000000000,56,0
Red,2,1650000000000,1830000000000,57,0
Red,2,1650000000000,1830000000000,58,0
Red,2,1650000000000,1830000000000,59,0
Red,2,1830000000000,2000000000000,0,136
Red,2,1830000000000,2000000000000,1,29
Red,2,1830000000000,2000000000000,2,14
Red,2,1830000000000,2000000000000,3,13
Red,2,1830000000000,2000000000000,4,8
Red,2,1830000000000,2000000000000,5,7
Red,2,1830000000000,2000000000000,6,6
Red,2,1830000000000,2000000000000,7,2
Red,2,1830000000000,2000000000000,8,8
Red,2,1830000000000,2000000000000,9,6
Red,2,1830000000000,2000000000000,10,3
Red,2,1830000000000,2000000000000,11,0
Red,2,1830000000000,2000000000000,12,2
Red,2,1830000000000,2000000000000,13,4
Red,2,1830000000000,2000000000000,14,5
Red,2,1830000000000,2000000000000,15,1
Red,2,1830000000000,2000000000000,16,5
Red,2,1830000000000,2000000000000,17,2
Red,2,1830000000000,2000000000000,18,6
Red,2,1830000000000,2000000000000,19,2
Red,2,1830000000000,2000000000000,20,2
Red,2,1830000000000,2000000000000,21,5
Red,2,1830000000000,2000000000000,22,2
Red,2,1830000000000,2000000000000,23,2
Red,2,1830000000000,2000000000000,24,5
Red,2,1830000000000,2000000000000,25,3
Red,2,1830000000000,2000000000000,26,2
Red,2,1830000000000,2000000000000,27,1
Red,2,1830000000000,2000000000000,28,3
Red,2,1830000000000,2000000000000,29,4
Red,2,1830000000000,2000000000000,30,1
Red,2,1830000000000,2000000000000,31,1
Red,2,1830000000000,2000000000000,32,1
Red,2,1830000000000,2000000000000,33,2
Red,2,1830000000000,2000000000000,34,2
Red,2,1830000000000,2000000000000,35,1
Red,2,1830000000000,2000000000000,36,2
Red,2,1830000000000,2000000000000,37,2
Red,2,1830000000000,2000000000000,38,0
Red,2,1830000000000,2000000000000,39,1
Red,2,1830000000000,2000000000000,40,0
Red,2,1830000000000,2000000000000,41,2
Red,2,1830000000000,2000000000000,42,3
Red,2,1830000000000,2000000000000,43,1
Red,2,1830000000000,2000000000000,44,1
Red,2,1830000000000,2000000000000,45,1
Red,2,1830000000000,2000000000000,46,0
Red,2,1830000000000,2000000000000,47,2
